InvoiceDate,Qnty
2015-02-16,42.0
2015-02-17,240.0
2015-02-18,40.0
2015-02-19,102.0
2015-02-21,195.0
2015-02-22,60.0
2015-02-23,143.0
2015-02-24,92.0
2015-02-25,6.0
2015-02-26,42.0
2015-02-28,35.0
2015-03-02,100.0
2015-03-03,46.0
2015-03-04,31.0
2015-03-05,85.0
2015-03-08,30.0
2015-03-09,194.0
2015-03-11,85.0
2015-03-14,95.0
2015-03-15,6.0
2015-03-16,176.0
2015-03-18,25.0
2015-03-19,25.0
2015-03-21,8.0
2015-03-22,83.0
2015-03-23,6.0
2015-03-25,30.0
2015-03-26,54.0
2015-03-28,55.0
2015-03-29,2.0
2015-03-30,11.0
2015-03-31,40.0
2015-04-01,270.0
2015-04-02,70.0
2015-04-04,40.0
2015-04-05,78.0
2015-04-06,15.0
2015-04-07,21.0
2015-04-08,2.0
2015-04-09,20.0
2015-04-11,36.0
2015-04-12,35.0
2015-04-13,20.0
2015-04-14,101.0
2015-04-15,109.0
2015-04-18,34.0
2015-04-19,50.0
2015-04-20,11.0
2015-04-21,15.0
2015-04-22,20.0
2015-04-23,20.0
2015-04-25,130.0
2015-04-26,10.0
2015-04-27,8.0
2015-04-28,200.0
2015-04-29,5.0
2015-05-02,50.0
2015-05-03,10.0
2015-05-05,50.0
2015-05-06,4.0
2017-01-08,700.0
2017-01-09,590.0
2017-01-10,135.0
2017-01-11,245.0
2017-01-12,423.0
2017-01-16,1257.0
2017-01-17,1937.0
2017-01-18,1597.0
2017-01-19,760.0
2017-01-21,1797.0
2017-01-22,336.0
2017-01-23,425.0
2017-01-24,90.0
2017-01-25,290.0
2017-01-26,192.0
2017-01-28,26.0
2017-01-29,8.0
2017-01-30,148.0
2017-01-31,220.0
2017-02-01,231.0
2017-02-02,14.0
2017-02-04,200.0
2017-02-05,186.0
2017-02-06,106.0
2017-02-07,310.0
2017-02-08,99.0
2017-02-09,161.0
2017-02-11,150.0
2017-02-12,70.0
2017-02-13,452.0
2017-02-14,60.0
2017-02-15,85.0
2017-02-16,66.0
2017-02-18,63.0
2017-02-19,94.0
2017-02-20,77.0
2017-02-21,54.0
2017-02-22,20.0
2017-02-23,40.0
2017-02-25,360.0
2017-02-26,40.0
2017-02-27,225.0
2017-02-28,100.0
2017-03-01,35.0
2017-03-02,10.0
2017-03-04,34.0
2017-03-05,130.0
2017-03-06,45.0
2017-03-07,280.0
2017-03-08,325.0
2017-03-09,20.0
2017-03-11,30.0
2017-03-12,60.0
2017-03-13,5.0
2017-03-14,110.0
2017-03-16,50.0
2017-03-18,18.0
2017-03-19,30.0
2017-03-20,5.0
2017-03-21,12.0
2017-03-22,80.0
2017-03-23,50.0
2017-03-25,102.0
2017-03-26,106.0
2017-03-28,50.0
2017-03-29,34.0
2017-04-03,104.0
2017-04-04,47.0
2017-04-05,80.0
2017-04-06,85.0
2017-04-08,96.0
2017-04-09,100.0
2017-04-10,20.0
2017-04-11,12.0
2017-04-12,110.0
2017-04-13,40.0
2017-04-16,100.0
2017-04-17,16.0
2017-04-18,55.0
2017-04-19,6.0
2017-04-22,161.0
2017-04-24,70.0
2017-04-25,55.0
2017-04-26,10.0
2017-04-27,76.0
2017-04-30,48.0
2017-05-01,175.0
2017-05-02,180.0
2017-05-03,2.0
2017-05-04,20.0
2017-05-06,86.0
2017-05-07,16.0
2017-05-08,65.0
2017-05-09,53.0
2017-05-10,15.0
2017-05-11,10.0
2017-05-13,39.0
2017-05-15,50.0
2017-05-16,77.0
