InvoiceDate,Qnty
2017-05-10,270.0
2017-05-11,220.0
2017-05-13,30.0
2017-05-14,270.0
2017-05-15,85.0
2017-05-16,20.0
2017-05-17,12.0
2017-05-18,100.0
2017-05-20,260.0
2017-05-21,10.0
2017-05-22,170.0
2017-05-23,30.0
2017-05-24,35.0
2017-05-25,271.0
2017-05-27,500.0
2017-05-28,40.0
2017-05-30,55.0
2017-05-31,70.0
2017-06-01,20.0
2017-06-02,50.0
2017-06-04,12.0
2017-06-05,34.0
2017-06-06,15.0
2017-06-07,40.0
2017-06-08,22.0
2017-06-10,117.0
2017-06-11,35.0
2017-06-12,260.0
2017-06-13,10.0
2017-06-15,230.0
2017-06-17,40.0
2017-06-18,20.0
2017-06-19,177.0
2017-06-20,260.0
2017-06-22,20.0
2017-06-28,10.0
2017-06-29,120.0
2017-07-01,68.0
2017-07-02,70.0
2017-07-03,12.0
2017-07-04,140.0
2017-07-05,22.0
2017-07-06,150.0
2017-07-08,138.0
2017-07-09,763.0
2017-07-10,210.0
2017-07-12,2.0
2017-07-13,80.0
2017-07-15,325.0
2017-07-16,60.0
2017-07-17,490.0
2017-07-18,5.0
2017-07-19,40.0
2017-07-20,375.0
2017-07-22,314.0
2017-07-23,241.0
2017-07-25,200.0
2017-07-26,135.0
2017-07-27,31.0
2017-07-29,180.0
2017-07-30,118.0
2017-07-31,754.0
2017-08-01,33.0
2017-08-02,10.0
2017-08-03,75.0
2017-08-05,30.0
2017-08-06,165.0
2017-08-07,22.0
2017-08-08,35.0
2017-08-09,20.0
2017-08-10,10.0
2017-08-12,110.0
2017-08-13,602.0
2017-08-14,7.0
2017-08-15,93.0
2017-08-16,100.0
2017-08-17,322.0
2017-08-19,140.0
2017-08-20,115.0
2017-08-21,52.0
2017-08-22,106.0
2017-08-23,119.0
2017-08-24,137.0
2017-08-26,361.0
2017-08-27,230.0
2017-08-28,10.0
2017-08-29,50.0
2017-08-30,70.0
2017-09-04,2.0
2017-09-05,365.0
2017-09-06,52.0
2017-09-07,170.0
2017-09-09,34.0
2017-09-10,40.0
2017-09-11,112.0
2017-09-12,20.0
2017-09-13,132.0
2017-09-14,146.0
2017-09-16,215.0
2017-09-17,64.0
2017-09-18,10.0
2017-09-19,87.0
2017-09-20,32.0
2017-09-21,322.0
2017-09-23,950.0
2017-09-24,303.0
2017-09-25,183.0
2017-09-26,179.0
2017-09-27,34.0
2017-09-28,685.0
2017-09-30,100.0
2017-10-01,25.0
2017-10-02,281.0
2017-10-03,30.0
2017-10-04,80.0
2017-10-05,74.0
2017-10-07,405.0
2017-10-09,80.0
2017-10-10,326.0
2017-10-11,292.0
2017-10-12,72.0
2017-10-14,21.0
2017-10-15,193.0
2017-10-16,50.0
2017-10-17,50.0
2017-10-18,301.0
2017-10-19,31.0
2017-10-21,15.0
2017-10-22,282.0
2017-10-23,178.0
2017-10-24,162.0
2017-10-25,10.0
2017-10-26,200.0
2017-10-28,99.0
2017-10-29,517.0
2017-10-30,148.0
2017-10-31,440.0
2017-11-01,48.0
2017-11-02,101.0
2017-11-04,22.0
2017-11-05,150.0
2017-11-06,15.0
2017-11-07,50.0
2017-11-09,43.0
2017-11-12,4.0
2017-11-13,186.0
2017-11-14,10.0
2017-11-15,505.0
2017-11-16,100.0
2017-11-18,150.0
2017-11-19,140.0
2017-11-20,70.0
2017-11-21,17.0
2017-11-23,190.0
2017-11-25,24.0
2017-11-27,42.0
2017-11-28,282.0
2017-11-29,80.0
2017-11-30,200.0
2017-12-02,281.0
2017-12-03,3.0
2017-12-05,339.0
2017-12-07,70.0
2017-12-09,300.0
2017-12-10,170.0
2017-12-11,10.0
2017-12-12,5.0
2017-12-13,5.0
2017-12-14,230.0
2017-12-17,253.0
2017-12-19,300.0
2017-12-20,30.0
2017-12-21,15.0
2017-12-23,92.0
2017-12-24,135.0
2017-12-25,80.0
2017-12-26,180.0
2017-12-27,126.0
2017-12-28,215.0
2017-12-30,10.0
2017-12-31,150.0
2018-01-01,50.0
2018-01-03,4.0
2018-01-04,150.0
2018-01-06,55.0
2018-01-08,2.0
2018-01-09,80.0
2018-01-10,100.0
2018-01-11,10.0
2018-01-13,20.0
2018-01-14,102.0
2018-01-15,60.0
2018-01-16,2.0
2018-01-17,45.0
2018-01-18,30.0
2018-01-20,95.0
2018-01-21,180.0
2018-01-22,20.0
2018-01-23,45.0
2018-01-25,30.0
2018-01-27,125.0
2018-01-28,200.0
2018-01-29,206.0
2018-02-01,10.0
2018-02-03,85.0
2018-02-06,215.0
2018-02-08,4.0
2018-02-11,276.0
2018-02-13,82.0
2018-02-14,120.0
2018-02-15,170.0
2018-02-17,8.0
2018-02-20,151.0
2018-02-21,315.0
2018-02-22,50.0
2018-02-24,30.0
2018-02-25,20.0
2018-02-28,25.0
2018-03-03,8.0
2018-03-04,50.0
2018-03-06,252.0
2018-03-07,55.0
2018-03-08,5.0
2018-03-10,51.0
