InvoiceDate,Qnty
2017-04-19,30.0
2017-04-20,35.0
2017-04-22,175.0
2017-04-23,40.0
2017-04-24,112.0
2017-04-25,14.0
2017-04-27,35.0
2017-04-29,30.0
2017-04-30,125.0
2017-05-01,270.0
2017-05-03,6.0
2017-05-04,110.0
2017-05-06,20.0
2017-05-07,70.0
2017-05-08,83.0
2017-05-09,60.0
2017-05-10,30.0
2017-05-11,30.0
2017-05-13,30.0
2017-05-15,135.0
2017-05-16,170.0
2017-05-17,11.0
2017-05-21,15.0
2017-05-22,50.0
2017-05-23,22.0
2017-05-25,342.0
2017-05-29,130.0
2017-05-30,45.0
2017-06-01,30.0
2017-06-05,50.0
2017-06-08,55.0
2017-06-11,8.0
2017-06-12,27.0
2017-06-13,10.0
2017-06-15,575.0
2017-06-16,20.0
2017-06-17,150.0
2017-06-18,4.0
2017-06-19,20.0
2017-06-20,20.0
2017-06-21,25.0
2017-06-22,50.0
2017-06-28,30.0
2017-06-29,285.0
2017-07-01,10.0
2017-07-02,38.0
2017-07-03,28.0
2017-07-04,10.0
2017-07-05,54.0
2017-07-06,40.0
2017-07-08,35.0
2017-07-09,54.0
2017-07-10,30.0
2017-07-11,158.0
2017-07-12,20.0
2017-07-13,280.0
2017-07-15,200.0
2017-07-16,120.0
2017-07-17,300.0
2017-07-18,275.0
2017-07-19,70.0
2017-07-20,502.0
2017-07-22,46.0
2017-07-23,195.0
2017-07-25,230.0
2017-07-26,24.0
2017-07-27,25.0
2017-07-30,1.0
2017-07-31,356.0
2017-08-01,40.0
2017-08-02,10.0
2017-08-03,20.0
2017-08-06,80.0
2017-08-07,52.0
2017-08-08,5.0
2017-08-09,40.0
2017-08-10,21.0
2017-08-12,20.0
2017-08-13,340.0
2017-08-14,112.0
2017-08-15,150.0
2017-08-16,12.0
2017-08-17,168.0
2017-08-19,23.0
2017-08-20,55.0
2017-08-21,170.0
2017-08-22,160.0
2017-08-23,40.0
2017-08-24,38.0
2017-08-26,276.0
2017-08-27,25.0
2017-08-28,158.0
2017-08-29,6.0
2017-09-05,60.0
2017-09-06,341.0
2017-09-07,132.0
2017-09-09,66.0
2017-09-10,4.0
2017-09-11,10.0
2017-09-12,95.0
2017-09-13,50.0
2017-09-14,37.0
2017-09-16,193.0
2017-09-17,125.0
2017-09-18,5.0
2017-09-19,520.0
2017-09-20,16.0
2017-09-21,170.0
2017-09-23,20.0
2017-09-24,180.0
2017-09-25,461.0
2017-09-26,260.0
2017-09-27,70.0
2017-09-28,300.0
2017-09-30,48.0
2017-10-01,212.0
2017-10-02,50.0
2017-10-03,158.0
2017-10-04,260.0
2017-10-07,380.0
2017-10-08,92.0
2017-10-09,15.0
2017-10-10,70.0
2017-10-11,235.0
2017-10-12,290.0
2017-10-14,40.0
2017-10-15,124.0
2017-10-16,100.0
2017-10-17,78.0
2017-10-18,250.0
2017-10-19,50.0
2017-10-21,16.0
2017-10-22,245.0
2017-10-23,261.0
2017-10-24,110.0
2017-10-25,70.0
2017-10-26,20.0
2017-10-28,1200.0
2017-10-29,68.0
2017-10-30,207.0
2017-10-31,310.0
2017-11-01,355.0
2017-11-02,30.0
2017-11-04,10.0
2017-11-05,100.0
2017-11-06,7.0
2017-11-07,170.0
2017-11-09,130.0
2017-11-11,40.0
2017-11-20,65.0
2017-11-22,90.0
2017-11-27,10.0
2017-11-29,120.0
2017-11-30,10.0
2017-12-02,16.0
2017-12-03,128.0
2017-12-04,18.0
2017-12-05,2.0
2017-12-07,124.0
2017-12-09,10.0
2017-12-10,153.0
2017-12-11,7.0
2017-12-12,15.0
2017-12-14,50.0
2017-12-16,30.0
2017-12-17,10.0
2017-12-18,8.0
2017-12-21,5.0
2017-12-23,70.0
2017-12-24,443.0
2017-12-25,116.0
2017-12-26,85.0
2017-12-27,50.0
2017-12-28,60.0
2017-12-30,11.0
2017-12-31,100.0
2018-01-01,5.0
2018-01-02,400.0
2018-01-04,109.0
2018-01-06,30.0
2018-01-07,500.0
2018-01-08,33.0
2018-01-09,20.0
2018-01-10,56.0
2018-01-11,150.0
2018-01-13,16.0
2018-01-14,220.0
2018-01-15,90.0
2018-01-16,3.0
2018-01-17,682.0
2018-01-20,67.0
2018-01-21,208.0
2018-01-23,30.0
2018-01-24,10.0
2018-01-25,97.0
2018-01-27,180.0
2018-01-28,180.0
2018-01-30,15.0
2018-01-31,25.0
2018-02-01,104.0
2018-02-03,399.0
2018-02-04,20.0
2018-02-05,100.0
2018-02-06,200.0
2018-02-07,250.0
2018-02-08,28.0
2018-02-10,190.0
2018-02-11,105.0
2018-02-12,90.0
2018-02-13,40.0
2018-02-14,395.0
2018-02-15,250.0
2018-02-17,50.0
2018-02-19,125.0
2018-02-20,338.0
2018-02-21,82.0
2018-02-22,100.0
2018-02-24,40.0
2018-02-25,42.0
2018-02-26,300.0
2018-02-27,32.0
2018-02-28,20.0
2018-03-03,18.0
2018-03-05,110.0
2018-03-06,80.0
2018-03-07,310.0
2018-03-11,136.0
2018-03-12,12.0
2018-03-13,65.0
2018-03-14,170.0
2018-03-15,70.0
2018-03-17,8.0
2018-03-19,260.0
2018-03-21,35.0
2018-03-22,686.0
2018-03-25,46.0
2018-03-26,246.0
2018-03-29,370.0
2018-03-31,85.0
2018-04-01,60.0
2018-04-02,145.0
2018-04-03,65.0
2018-04-04,12.0
2018-04-05,48.0
2018-04-07,202.0
2018-04-08,15.0
2018-04-09,66.0
2018-04-10,6.0
2018-04-11,6.0
2018-04-12,5.0
2018-04-14,40.0
2018-04-15,79.0
2018-04-16,15.0
2018-04-17,30.0
2018-04-18,20.0
2018-04-21,70.0
2018-04-22,30.0
2018-04-23,6.0
