,ItemNo,AItemName
201,1183,"دينمو 1/4""مارقوس"
202,1185,خلاط مجلة جدار ماستر
203,1191,لي دش 150 سم بلكس الماني
204,1184,مروحة شفط سقفى 220*QCA 80 تات
205,119,جلبة بارد 90 ملي ضغط 80
206,1182,"لي جرجور رمادي 3"" مودرن 45 متر"
207,1192,قاعدة نجف بغطاء 2*40خط220*518
208,1193,لي دش 150سم صيني
209,1195,مسدس سليكون برتقالي صيني
210,1196,تيب شفاف عريض
211,1197,كوع سنة تحويل 25*3/4
212,1199,مغسلة دلاب ابيض 60 سم 6698 -G ائيديل
213,12,"قسام غاز 1/2-1"""
214,120,جلبة ابلكو 110 ملي
215,1200,مغسلة دلاب ابيض 60 سم 6162 M ائيديل
216,1201,خلاط مجلة جدارسمارت
217,1186,خلاط دش اتوماتيك ايطالي دونا 4705
218,1202,خلاط مغسلة بريت ستاربلس
219,1204,لي شفاف 8 مم *25متر
220,1203,لي شفاف 6 مم * 25متر
221,1198,"لي ماء 2"" فلات هوز العايد ازرق 50 متر"
222,1207,لي غسالة
223,1208,لي كروم 30 سم شيل الماني
224,1209,لي كروم 40 سم شيل الماني
225,121,جلبة اصلاح ابلكو 40 ملي
226,1216,شبكة تركى 6 خط 90 مم اسود
227,1214,"كوع ابيض 3""  جودة ضغط 40"
228,1212,لي كروم 80 سم شيل الماني
229,1205,رشاش ماء بلاستيك العايد ازرق
230,1206,لي غاز
231,1210,لي كروم 50 سم شيل الماني
232,1217,شبكة تركى 4 خط 63 مم
233,1220,"بزبوز1/2""اصفرREX"
234,1222,مرايا 85*86 موسى
235,1224,لي مجدول 50 سم بكس
236,1227,لي مجدول 60 سم بكس
237,1225,مرايا88 موسى
238,122,جلبة اصلاح ابلكو 160 ملي
239,1213,لي كهرباء 16 ملي الحوشاني
240,1215,لي كهرباء 23 ملي الحوشاني
241,1211,لي كروم 60 سم شيل الماني
242,1218,غطاء حديد 7 سم
243,1221,لي مجدول 40 سم اسباني
244,1226,لي مجدول 60 سم اسباني
245,1223,لي مجدول 50 سم اسباني
246,1228,لي مجدول 80 سم بكس
247,123,جلبة اصلاح ابلكو 50 ملي
248,1231,قلب سكرتركى 32ملى
249,1232,لمبة كورا 20 وات ابيض ليد
250,1235,"ماسورة حار 1""  بحريني ضغط80"
251,1236,خلاط دش بريت
252,1237,"ماسورة ابيض 1/2"" ضغط 40"
253,1219,لي مجدول 30 سم اسباني
254,1230,لي مجدول 80 سم اسباني
255,1238,"ماسورة بارد 1/2"" ضغط 80"
256,1229,لي مجدول 100 سم اسباني
257,1239,"ماسورة حار1/2"" ضغط 80 بحريني"
258,124,جلبة تركي 32 ملي
259,1240,"ماسورة ابيض 1/2-1""طيار ضغط40"
260,1241,"ماسورة بارد 1/2-1"" تقنية ضغط80"
261,1244,"ماسورة بارد 1/4-1"" ضغط 80 بحرينى"
262,1245,"ماسورة ابيض 1/4-1"" ضغط 40"
263,1233,لمبة كورا 30 وات ابيض ليد
264,1234,"ماسورة ابيض 1"" ضغط 40"
265,1246,ماسورة ابيض 110 * 3.2
266,1247,لي دش 200 سم سانتيك
267,1243,"ماسورة ابيض 1/2-1"" بحريني ضغط40"
268,1242,"ماسورة حار 1/2-1"" بحرينى ضغط 80"
269,1249,ماسورة ابيض 110* 5.3 الراجحي
270,125,"جلبة ذكر ابيض 1"" ضغط 40"
271,1250,ماسورة ابيض 114مم * 5.3 بحرينى
272,1255,ماسورة ابيض 160*4.7 الراجحي
273,1256,"ماسورة بارد 2"" تقنية ضغط 80"
274,1257,خلاط مغسلة سن لائيك ستاربلس
275,1258,"ماسورة ابيض 2"" تقنية ضغط 40"
276,1251,ماسورة ابيض 114ملي 4 ملي نيبرو
277,1254,"عازل 1/4-1"""
278,1259,ماسورة تركي 20 ملى
